item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Toothpaste,Beef,Chips,Soda,Eggs,,Juice,Cookies,,Rice,Coffee
Apples,,Apples,Butter,Juice,Yogurt,Oranges,,,,
Rice,Cookies,Milk,Milk,,Cereal,,Oranges,Tomatoes,Oranges,Tea
Soap,Eggs,Bananas,,Detergent,Cereal,Rice,Soap,Beef,Pasta,
Apples,Detergent,Tea,Yogurt,Detergent,Yogurt,Shampoo,Eggs,Pasta,,
Cereal,Chips,Soda,,Fish,Onions,Tissue,Detergent,Yogurt,,Bananas
Soap,Cereal,Bananas,Tissue,Pasta,Detergent,,Cookies,Yogurt,Cookies,Water
Milk,Shampoo,Juice,Juice,Pasta,Tea,,,Tomatoes,Bread,Butter
,Cookies,Milk,Apples,Milk,Cheese,Beef,Yogurt,,Chips,Bread
Juice,Tomatoes,Toothpaste,Bananas,Eggs,Coffee,Bananas,,Onions,Onions,Detergent
Cereal,Chicken,Cereal,Tomatoes,Juice,Soda,Tea,Pasta,,Cereal,Cereal
Juice,Beef,Cookies,Oranges,Beef,Cereal,Milk,Soda,Eggs,Water,Chicken
Detergent,Chocolate,Eggs,Soap,Tea,Chicken,Fish,Bananas,Detergent,Cookies,
Water,Soap,,,,Cheese,,Tea,Milk,Bread,Juice
,Oranges,Beef,Soda,,Tomatoes,Juice,Eggs,Tomatoes,,Cereal
,Chips,Butter,Bananas,Eggs,Milk,Fish,Tomatoes,Chocolate,Oranges,Chocolate
Cheese,,,Soap,Rice,Tissue,Shampoo,Milk,,Chocolate,Chicken
Bread,Eggs,Onions,Tissue,Rice,Bread,Soap,Pasta,Juice,Juice,Fish
Oranges,Water,Fish,Apples,Onions,Beef,Chicken,Bananas,,Rice,Onions
Coffee,Bananas,Chicken,Juice,Cheese,Oranges,Toothpaste,Onions,,Bread,Shampoo
Chips,,Tomatoes,,Milk,,Eggs,,Water,Chicken,
,Butter,Shampoo,Chips,Bread,Soda,Chips,,Juice,,Beef
,Butter,,Eggs,Chocolate,,Onions,Yogurt,,Coffee,
,Cereal,Beef,Bananas,Coffee,Soap,,Beef,Chicken,Milk,Yogurt
Apples,Yogurt,,,,Soap,Toothpaste,Eggs,,Milk,
,Chicken,Cereal,Coffee,Chips,Yogurt,Milk,Onions,Shampoo,Yogurt,Cheese
Yogurt,Bread,Cookies,Cheese,Chips,Cereal,Coffee,,,Shampoo,Milk
Tea,Fish,Chocolate,,Tea,Soap,Cheese,Cookies,Chips,Juice,Bread
,Bread,Chocolate,Water,Beef,Bread,,Tea,Tomatoes,Chocolate,Eggs
Chocolate,Toothpaste,,,,Pasta,,Chicken,Water,Butter,Soda
Chips,Water,Coffee,Butter,,Cookies,Tissue,Soap,Chips,Onions,Fish
Shampoo,Toothpaste,Oranges,Toothpaste,Shampoo,Milk,,Rice,Toothpaste,Apples,Fish
Bread,Tomatoes,Eggs,Bread,,,Soda,Soda,,Bananas,Shampoo
Soda,Apples,Toothpaste,Eggs,Tea,Tea,Eggs,Pasta,Onions,Juice,
,Apples,,,,Butter,,Chocolate,Shampoo,Water,Chips
Pasta,Juice,Toothpaste,Butter,Yogurt,Chicken,Cookies,Butter,,,
